Chunk,Compound_ID,Target,Original_InChI_Key,Original_SMILES,Fragment_1_SMILES,Fragment_2_SMILES,Fragment_3_SMILES,Fragment_1_TYPE,Fragment_3_TYPE
1,1,BRD7,RPMQBLMPGMFXLD-PDUNVWSESA-N,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCC2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)CC1,[2H]N1CCN(Cc2c(OC)cc(-c3cn(C)c(=O)c4cnccc34)cc2OC)CC1,[2H]CCOCCOCC([2H])=O,[2H]N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,Warhead,E3 Binder
1,2,BRD7,NGWWVKZONFCNQP-SHPBXJAASA-N,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCCOCCOCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCC2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)CC1,[2H]N1CCN(Cc2c(OC)cc(-c3cn(C)c(=O)c4cnccc34)cc2OC)CC1,[2H]CCOCCOCCOCCOCC([2H])=O,[2H]N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,Warhead,E3 Binder
1,3,BRD9,RMBNUDOJPQLHMV-UHFFFAOYSA-N,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCC(=O)NCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)CC1,[2H]N1CCN(Cc2c(OC)cc(-c3cn(C)c(=O)c4cnccc34)cc2OC)CC1,[2H]CCOCCOCC([2H])=O,[2H]NCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,Warhead,E3 Binder
1,4,BRD9,SDNYQFJDRMQSRQ-UHFFFAOYSA-N,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCCOCCOCC(=O)NCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)CC1,[2H]N1CCN(Cc2c(OC)cc(-c3cn(C)c(=O)c4cnccc34)cc2OC)CC1,[2H]CCOCCOCCOCCOCC([2H])=O,[2H]NCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,Warhead,E3 Binder
1,5,BRD7,DDAXUTFTFNAHRT-UHFFFAOYSA-N,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCC(=O)NCC2=CC=C(S(=O)(=O)NC3=CC=CC4=C3[NH]C=C4Cl)C=C2)CC1,[2H]N1CCN(Cc2c(OC)cc(-c3cn(C)c(=O)c4cnccc34)cc2OC)CC1,[2H]CCOCCOCC([2H])=O,[2H]NCc1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cc1,Warhead,E3 Binder
1,6,BRD7,BOYHSGRAUJTFQK-UHFFFAOYSA-N,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCCOCCOCC(=O)NCC2=CC=C(S(=O)(=O)NC3=CC=CC4=C3[NH]C=C4Cl)C=C2)CC1,[2H]N1CCN(Cc2c(OC)cc(-c3cn(C)c(=O)c4cnccc34)cc2OC)CC1,[2H]CCOCCOCCOCCOCC([2H])=O,[2H]NCc1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cc1,Warhead,E3 Binder
1,7,BRD7,DRJWXYPSYGMNIH-WOPAXDDLSA-N,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCC2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)CC1,[2H]N1CCN(Cc2c(OC)cc(-c3cn(C)c(=O)c4cnccc34)cc2OC)CC1,[2H]CCOCCOCCOCCOCCOCC([2H])=O,[2H]N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,Warhead,E3 Binder
1,8,BRD7,BBWHDLPJYIBSPV-KKOOHVALSA-N,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCCCCOCCOCC(=O)N[C@@H](C(=O)N2C[C@@H](O)C[C@@H]2C(=O)NCC2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)CC1,[2H]N1CCN(Cc2c(OC)cc(-c3cn(C)c(=O)c4cnccc34)cc2OC)CC1,[2H]CCCCCOCCOCC([2H])=O,[2H]N[C@@H](C(=O)N1C[C@@H](O)C[C@@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,Warhead,E3 Binder
1,9,BRD7,IFJXMXFBGQOFCB-UDVNCTHFSA-N,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCOCCOCCOCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCC2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)CC1,[2H]N1CCN(Cc2c(OC)cc(-c3cn(C)c(=O)c4cnccc34)cc2OC)CC1,[2H]CCOCCOCCOCC([2H])=O,[2H]N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,Warhead,E3 Binder
1,10,BRD7,IKMORLNNOZODIR-GPPJZCFZSA-N,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(C(=O)COCCOCCOCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCC2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)CC1,[2H]N1CCN(Cc2c(OC)cc(-c3cn(C)c(=O)c4cnccc34)cc2OC)CC1,[2H]C(=O)COCCOCCOCC([2H])=O,[2H]N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,Warhead,E3 Binder
